공항코드(IATA),영문공항명,한글공항명,지역,영문국가명,한글국가명,영문도시명
AAL,Aalborg Airport,올보르 공항,유럽,Denmark,덴마크,Aalborg
AES,Alesund Airport,바이그라 공항,유럽,Norway,노르웨이,Aalesund
AAR,Aarhus Airport,터스럽 공항,유럽,Denmark,덴마크,Aarhus
ABD,Abadan Airport,아바단 공항,중동,Iran,이란,Abadan
ABF,Abaiang Airport,아바이앙 공항,대양주,Kiribati,키리바시,Abaiang
ABA,Abakan Airport,아바칸 공항,유럽,Russian Federation,러시아,Abakan
YXX,Abbotsford International Airport,애보트포드 국제공항,북미,Canada,캐나다,Abbotsford
AEH,Abecher Airport,아베셰 공항,아프리카,Chad,차드,Abeche
AEA,Abemama Airport,아베마마 공항,대양주,Kiribati,키리바시,Abemama
ABR,Aberdeen Regional Airport,애버딘 지역공항,북미,United States of America,미국,Aberdeen
ABZ,Aberdeen International Airport,다이스 공항 ,유럽,United Kingdom,영국,Aberdeen
AHB,Abha Airport,아바 지역공항,중동,Saudi Arabia,사우디아라비아,Abha
ABJ,Abidjan Felix Houphouet Boigny Airport,펠릭스 우후에 보아니 공항,아프리카,Cote d'Ivoire,코트디부아르,Abidjan
ABI,Abilene Regional Airport,애빌린 시공항,북미,United States of America,미국,Abilene
VJI,Abingdon Virginia Highlands Airport,애빙던 버지니아 하이랜드 공항,북미,United States of America,미국,Abingdon
MTV,Mota Lava Airport,모타라바 공항,대양주,Vanuatu,바누아투,Ablow
AUH,Abu Dhabi International Airport,아부다비 국제공항,중동,United Arab Emirates,UAE,Abu Dhabi
AZI,Al Bateen Executive Airport,바틴 공항,중동,United Arab Emirates,UAE,Abu Dhabi
ZDY,Delma Island Airport,달마 공항,중동,United Arab Emirates,UAE,ABU DHABI
ABS,Abu Simbel Airport,아부심벨 공항,아프리카,Egypt,이집트,Abu Simbel
ABV,Abuja Nnamdi Azikiwe International Airport,아부자 국제공항,아프리카,Nigeria,나이지리아,Abuja
AEU,Abu Musa Airport,아부 무사 공항,중동,Iran,이란,AbuMousa
ACA,Acapulco Alvarez International Airport,알바레즈 국제공항,중남미,Mexico,멕시코,Acapulco
AGV,Acarigua Oswaldo Guevara Mujica Airport,오스왈도 구에바라 뮤지카 공항,중남미,Venezuela,베네수엘라,Acarigua
ACC,Accra Kotoka International Airport,코타카 공항,아프리카,Ghana,가나,Accra
ACU,Achutupo Airport,아추투포 공항,중남미,Panama,파나마,Achutupo
RSS,Damazin Airport,다마진 공항,아프리카,Sudan,수단,Ad Damazin
ADK,Adak Island Naval Airport,아닥 공항,북미,United States of America,미국,Adak
AIP,Adampur Airport,아담푸르 공항,아시아,India,인도,Adampur
ADA,Adana Sakirpasa Airport,아다나 공항,유럽,Turkey,터키,Adana
AAD,Adado Airport,아다도 공항,아프리카,Somalia,소말리아,Ad-Dabbah
ADD,Addis Ababa Bole International Airport,보울 공항,아프리카,Ethiopia,이디오피아,Addis Ababa
ADS,Dallas Addison Airport,애디슨 공항,북미,United States of America,미국,Addison
ADL,Adelaide Airport,애들레이드 국제공항,대양주,Australia,오스트레일리아,Adelaide
ADE,Aden International Airport,아덴 국제공항,중동,Yemen,예멘,Aden
ADF,Adiyaman Airport,아디야만 공항,유럽,Turkey,터키,Adıyaman
AZR,Adrar Touat Airport,투앗 공항,아프리카,Algeria,알제리,Adrar
AFT,Afutara Aerodrome,아푸타라 공항,대양주,Solomon Islands,솔로몬제도,Afutara
AJY,Agadez Mano Dayak International Airport,아가데즈 공항,아프리카,Niger,니제르,Agades South
AGA,Agadir Al Massira Airport,알 마씨라 공항,아프리카,Morocco,모로코,Agadir
GUM,Guam Antonio B Won Pat International Airport,안토니오 보르냐 원 팟 국제공항,대양주,Guam,괌,Agana (Hagata)
IXA,Agartala Singerbhil Airport,싱거힐 공항,아시아,India,인도,Agartala
AGX,Agatti Island Airport,아가티 비행장,아시아,India,인도,Agatti
AGF,Agen La Garenne Airport,라 가레나 공항,유럽,France,프랑스,Agen
AGR,Agra Kheria Airport,케리아 공항 ,아시아,India,인도,Agra
AJI,Agri Airport,아리 공항,유럽,Turkey,터키,Agrı
ACL,Aguaclara Airport,세자 공항,중남미,Colombia,콜롬비아,Aguaclara
BQN,Aguadilla Rafael Hernandez Airport,보링겐 공항,북미,Puerto Rico,푸에르토리코,Aguadilla
AGU,Aguascalientes Airport,릭 지저스 테란 페러두 국제공항,중남미,Mexico,멕시코,Aguascalientes
AGJ,Aguni Airport,아구니 공항,아시아,Japan,일본,Aguni
AHE,Ahe Airport,아헤 공항,대양주,French Polynesia,프랑스령폴리네시아,Ahe
AMD,Ahmedabad Sardar Vallabhbhai Patel International Airport,사다르 발랍하이 파텔 국제공항 ,아시아,India,인도,Ahmedabad
AWZ,Ahwaz Airport,아와즈 공항,중동,Iran,이란,Ahwaz
WRY,Westray Airport,웨스트레이 공항,유럽,United Kingdom,영국,Aikerness
JEJ,Jeh Airport,제 공항,대양주,Marshall Islands,마셜제도,Ailinglapalap Atoll
AIM,Ailuk Island Airport,아일룩 섬 공항,대양주,Marshall Islands,마셜제도,Ailuk Island
AIT,Aitutaki Airport,아바루아 공항,대양주,Cook Islands,쿡 군도,Aitutaki
AJL,Aizawl Lengpui Airport,투리알 공군기지,아시아,India,인도,Aizawl
AJA,Ajaccio Napoleon Bonaparte Airport,아작시오 나폴레옹 보나파르트 공항,유럽,France,프랑스,Ajaccio
AKK,Akhiok Sea Plane Base,아키옥 시플레인 베이스 공항,북미,United States of America,미국,Akhiok
AKI,Akiak Airport,아키악 공항,북미,United States of America,미국,Akiak
AXT,Akita Airport,아키타 공항,아시아,Japan,일본,Akita
LAK,Aklavik Airport,아클라빅 공항,북미,Canada,캐나다,Aklavik
AKD,Akola Airport,아콜라 공항,아시아,India,인도,Akola
CAK,Akron-Canton Airport,애크런 캔튼 지역공항,북미,United States of America,미국,Akron
AKU,Aksu Wensu Airport,아커쑤 공항,아시아,China,중국,Aksu
SCO,Aktau Airport,악카우 공항,아시아,Kazakhstan,카자흐스탄,Aktau
AKX,Aktobe Airport,악튜빈스크 공항,아시아,Kazakhstan,카자흐스탄,Aktyubinsk
AKV,Akulivik Airport,아큘리빅 공항,북미,Canada,캐나다,Akulivik
AKR,Akure Airport,아쿠레 공항,아프리카,Nigeria,나이지리아,Akure
AEY,Akureyri Airport,아쿠레이리 공항,유럽,Iceland,아이슬란드,Akureyri
KQA,Akutan Airport,아쿠탄 공항,북미,United States of America,미국,Akutan
AAN,Al Ain International Airport,알아인 국제공항,중동,United Arab Emirates,UAE,Al Ain
AAY,Al Ghaydah Airport,알 가이다 공항,중동,Yemen,예멘,Al Ghaidah
AHU,Al Hoceima Cherif Al Idrissi Airport,샤리프 알 잇드리시 공항,아프리카,Morocco,모로코,Al Hoceima
HOF,Al-Ahsa Airport,알 아샤 국내공항,중동,Saudi Arabia,사우디아라비아,Al-Ahsa
AUK,Alakanuk Airport,알라카누크 공항,북미,United States of America,미국,Alakanuk
